seq_id	ENC	CAI	FOP	GC	GC3s	tAI
lcl|LR898468.1_cds_CAD6498686.1_44 [protein_id=CAD6498686.1] [location=join(667995..668061,668110..668464,668510..668738,668793..668836,668888..669003,669055..669656)] [gbkey=CDS]	56.03958661323639	0.7928247650242198	0.23555555555555555	0.4633972992181947	0.45111111111111113	0.2469650252571985
lcl|LR898468.1_cds_CAD6498687.1_45 [protein_id=CAD6498687.1] [location=complement(join(670196..670240,670289..670431,670508..670542,670613..670689))] [gbkey=CDS]	50.62526016595672	0.7432943460071642	0.2765957446808511	0.5850340136054422	0.5638297872340425	0.241442655812702
lcl|LR898468.1_cds_CAD6498688.1_46 [protein_id=CAD6498688.1] [location=join(674059..674242,674298..674392,674436..674532,674594..674765,674833..674889,674942..675041)] [gbkey=CDS]	53.866869948469585	0.8032918027265207	0.29694323144104806	0.46208869814020026	0.4017467248908297	0.24763235245406073
lcl|LR898468.1_cds_CAD6498689.1_47 [protein_id=CAD6498689.1] [location=complement(join(675508..676573,676610..676800,676848..677561))] [gbkey=CDS]	53.901125547541135	0.8342589117972122	0.3422712933753943	0.42493638676844786	0.3280757097791798	0.24900805087423325
lcl|LR898468.1_cds_CAD6498690.1_48 [protein_id=CAD6498690.1] [location=join(678302..678497,678552..680245)] [gbkey=CDS]	55.23651304630977	0.8163138230912704	0.38095238095238093	0.43471337579617836	0.3793103448275862	0.24681947395527995
lcl|LR898468.1_cds_CAD6498691.1_49 [protein_id=CAD6498691.1] [location=join(687630..687844,687894..688169,688230..688737)] [gbkey=CDS]	54.36123719854664	0.8025884929189425	0.3333333333333333	0.48841893252769386	0.3765432098765432	0.2461228197671746
lcl|LR898468.1_cds_CAD6498692.1_50 [protein_id=CAD6498692.1] [location=complement(join(709592..710250,710312..710399))] [gbkey=CDS]	55.699074115174156	0.7961303442056606	0.2948717948717949	0.48313090418353577	0.4358974358974359	0.25950823020730385
lcl|LR898468.1_cds_CAD6498693.1_51 [protein_id=CAD6498693.1] [location=complement(join(714223..714599,714655..714972,715034..715130))] [gbkey=CDS]	49.89191634953009	0.848323630624502	0.38132295719844356	0.4300254452926209	0.3424124513618677	0.2567996972863074
lcl|LR898468.1_cds_CAD6498694.1_52 [protein_id=CAD6498694.1] [location=complement(join(746628..747176,747226..747328,747389..747486))] [gbkey=CDS]	53.44078841197667	0.7906142432823552	0.2391304347826087	0.47043010752688175	0.41304347826086957	0.25448868130181235
lcl|LR898468.1_cds_CAD6498695.1_53 [protein_id=CAD6498695.1] [location=join(748158..748203,748272..748396,748445..748660)] [gbkey=CDS]	52.693260651807215	0.7759978298852949	0.2786885245901639	0.5433070866141733	0.45081967213114754	0.2626425497356932
lcl|LR898468.1_cds_CAD6498698.1_56 [protein_id=CAD6498698.1] [location=join(789212..789330,789378..789540,789721..790107)] [gbkey=CDS]	53.2234209879979	0.8231068264358539	0.3824884792626728	0.42684766214177977	0.4055299539170507	0.25620001474897225
lcl|LR898468.1_cds_CAD6498700.1_58 [protein_id=CAD6498700.1] [location=join(798457..798748,798800..798912,799007..799087,799167..799285,799333..799451,799505..799965)] [gbkey=CDS]	56.20503316184178	0.8059898793933827	0.32717678100263853	0.455470737913486	0.41424802110817943	0.24489209101511322
lcl|LR898468.1_cds_CAD6498701.1_59 [protein_id=CAD6498701.1] [location=join(826796..826852,826965..828150,828245..829389)] [gbkey=CDS]	56.21019212369161	0.8010086904937912	0.274025974025974	0.47439126784214947	0.4051948051948052	0.248728926418376
lcl|LR898468.1_cds_CAD6498702.1_60 [protein_id=CAD6498702.1] [location=complement(join(844549..845340,845387..846364))] [gbkey=CDS]	56.626433961839105	0.7940681226852797	0.29982668977469673	0.45918367346938777	0.4038128249566724	0.2510938793916243
lcl|LR898468.1_cds_CAD6498703.1_61 [protein_id=CAD6498703.1] [location=join(846754..846883,846970..849563,849608..850959,851009..851048)] [gbkey=CDS]	55.740102276276666	0.8121974474526157	0.34480179506357517	0.4656934306569343	0.38219895287958117	0.2521275859278081
